,id,age,race,gender,ethnicity,marital_status,household_income,politics,scenario,scenario.ord,manip,manip.ord,mj,display_order,correct,similar,fomo,fomo.d,fomo.dn,fomo_centered,domain,domain.ord,manip.d
1,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,dog,Dog,condemn,Condemnable,42,5,69,69,3,1,highFOMO,0.963868613,purity,Purity,0
2,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,sexsim,Sex simulation,condemn,Condemnable,73,10,69,72,3,1,highFOMO,0.963868613,purity,Purity,0
3,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,incest,Incest,neutral,Neutral,41,2,71,70,3,1,highFOMO,0.963868613,purity,Purity,NA
4,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,chicken,Chicken sex,accept,Acceptable,47,3,71,74,3,1,highFOMO,0.963868613,purity,Purity,1
5,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,cannibal,Cannibalism,accept,Acceptable,42,1,77,70,3,1,highFOMO,0.963868613,purity,Purity,1
6,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,lifeboat,Lifeboat,accept,Acceptable,56,7,75,79,3,1,highFOMO,0.963868613,harm,Harm,1
7,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,trolley,Trolley,condemn,Condemnable,48,6,71,69,3,1,highFOMO,0.963868613,harm,Harm,0
8,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,footb,Footbridge,condemn,Condemnable,53,8,76,67,3,1,highFOMO,0.963868613,harm,Harm,0
9,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,electric,Electrician,neutral,Neutral,49,4,81,73,3,1,highFOMO,0.963868613,harm,Harm,NA
10,1,39,American Indian or Alaska Native,Male,Not Hispanic and/or Latin,Single,"Under $20,000",Slightly Conservative,village,Village,accept,Acceptable,37,9,76,80,3,1,highFOMO,0.963868613,harm,Harm,1
