LocationLatitude,LocationLongitude,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,age,gender,gender_3_TEXT,race,marital_status,check1,household_income,politics,dog_neu_moral_1,dog_neu_correct_1,dog_neu_similar_1,sexsim_neu_moral_1,sexsim_neu_correct_1,sexsim_neu_similar_1,,incest_neu_moral_1,incest_neu_correct_1,incest_neu_similar_1,chicken_neu_moral_1,chicken_neu_correct_1,chicken_neu_similar_1,lifeboat_neu_moral_1,lifeboat_neu_correct_1,lifeboat_neu_similar_1,footb_neu_moral_1,footb_neu_correct_1,footb_neu_similar_1,electric_neu_moral_1,electric_neu_correct_1,electric_neu_similar_1,village_neu_moral_1,village_neu_correct_1,village_neu_similar_1,dog_acc_moral_1,dog_acc_correct_1,dog_acc_similar_1,sexsim_acc_moral_1,sexsim_acc_correct_1,sexsim_acc_similar_1,incest_acc_moral_1,incest_acc_correct_1,incest_acc_similar_1,chicken_acc_moral_1,chicken_acc_correct_1,chicken_acc_similar_1,lifeboat_acc_moral_1,lifeboat_acc_correct_1,lifeboat_acc_similar_1,footb_acc_moral_1,footb_acc_correct_1,footb_acc_similar_1,electric_acc_moral_1,electric_acc_correct_1,electric_acc_similar_1,village_acc_moral_1,village_acc_correct_1,village_acc_similar_1,dog_con_moral_1,dog_con_correct_1,dog_con_similar_1,sexsim_con_moral_1,sexsim_con_correct_1,sexsim_con_similar_1,incest_con_moral_1,incest_con_correct_1,incest_con_similar_1,chicken_con_moral_1,chicken_con_correct_1,chicken_con_similar_1,lifeboat_con_moral_1,lifeboat_con_correct_1,lifeboat_con_similar_1,footb_con_moral_1,footb_con_correct_1,footb_con_similar_1,electric_con_moral_1,electric_con_correct_1,electric_con_similar_1,village_con_moral_1,village_con_correct_1,village_con_similar_1,FoMO1_1,FoMO1_2,FoMO1_3,FoMO1_4,FoMO1_5,FoMO2_1,FoMO2_2,FoMO2_3,FoMO2_4,FoMO2_5,FoMO2_6,ih1_1,ih1_2,ih1_3,ih1_4,ih1_5,ih1_6,ih2_1,ih2_2,ih2_3,ih2_4,ih2_5,ih2_6,ih3_1,ih3_2,ih3_3,ih3_4,ih3_5,ih4_1,ih4_2,ih4_3,ih4_4,ih4_5,51,53,57,62,68,71,74,80,purity_rat,purity_emo,harm_rat,harm_emo,info_type,Scen1,Resp,Amt1,reason,dog_reason,sexsim_reason,incest_reason,chicken_reason,lifeboat_reason,footb_reason,electric_reason,village_reason,Scen2,Amt2,Scen3,Amt3,Scen4,Amt4,Scen5,Amt5,Scen6,Amt6,Scen7,Amt7,Scen8,Amt8,prolific_id
Location Latitude,Location Longitude,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Age,Gender Identity - Selected Choice,Gender Identity - Gender variant/Non-conforming/Other (Please specify) - Text,Race/ethnicity,Marital Status,"How much do you agree with this statement: ""All my friends are aliens from outer space.""",Household income,Political Leaning,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,FoMO1 - I fear others have more rewarding experiences than me.,FoMO1 - I fear my friends have more rewarding experiences than me.,FoMO1 - I get worried when I find out my friends are having fun without me.,FoMO1 - I get anxious when I don't know what my friends are up to.,"FoMO1 - It is important that I understand my friends ""in jokes.""","FoMO2 - Sometimes, I wonder if I spend too much time keeping up with what is going on.",FoMO2 - It bothers me when I miss an opportunity to meet up with friends.,FoMO2 - When I have a good time it is important for me to share the details online (e.g. updating status).,FoMO2 - When I miss out on a planned get-together it bothers me.,"FoMO2 - Select ""slightly true of me"" for this one.","FoMO2 - When I go on vacation, I continue to keep tabs on what my friends are doing.",ih1 - 1. My ideas are usually better than other people’s ideas.,"ih1 - 2. For the most part, others have more to learn from me than I have to learn from them.","ih1 - 3. When I am really confident in a belief, there is very little chance that belief is wrong.",ih1 - 4. I’d rather rely on my own knowledge about most topics than turn to others for expertise.,"ih1 - 5. On important topics, I am not likely to be swayed by the viewpoints of others.","ih1 - 6. I have at times changed opinions that were important to me, when someone showed me I was wrong.",ih2 - 7. I am willing to change my position on an important issue in the face of good reasons.,ih2 - 8. I am open to revising my important beliefs in the face of new information.,ih2 - 9. I am willing to change my opinions on the basis of compelling reason.,ih2 - 10. I’m willing to change my mind once it’s made up about an important topic.,ih2 - 11. I respect that there are ways of making important decisions that are different from the way I make decisions.,ih2 - 12. Listening to perspectives of others seldom changes my important opinions.,ih3 - 13. I welcome different ways of thinking about important topics.,"ih3 - 14. I can have great respect for someone, even when we don't see eye-to-eye on important topics.","ih3 - 15. Even when I disagree with others, I can recognize that they have sound points.","ih3 - 16. When someone disagrees with ideas that are important to me, it feels as though I'm being attacked.","ih3 - 17. When someone contradicts my most important beliefs, it feels like a personal attack.",ih4 - 18. I tend to feel threatened when others disagree with me on topics that are close to my heart.,"ih4 - 19. I can respect others, even if I disagree with them in important ways.","ih4 - 20. I am willing to hear others out, even if I disagree with them.","ih4 - 21. When someone disagrees with ideas that are important to me, it makes me feel insignificant.",ih4 - 22. I feel small when others disagree with me on topics that are close to my heart.,51,53,57,62,68,71,74,80,purity_rat,purity_emo,harm_rat,harm_emo,info_type,Scen1,Resp,Amt1,reason,dog_reason,sexsim_reason,incest_reason,chicken_reason,lifeboat_reason,footb_reason,electric_reason,village_reason,Scen2,Amt2,Scen3,Amt3,Scen4,Amt4,Scen5,Amt5,Scen6,Amt6,Scen7,Amt7,Scen8,Amt8,Please enter your Prolific ID:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9764,-93.224,0,5,24,Female,,White,Single,Absolutely disagree,"$20,001 - $40,000",Strongly Liberal,-64,82,37,-77,32,34,,-88,79,76,-75,58,41,36,50,45,-24,56,44,-38,40,52,-29,57,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderately true of me,Very true of me,Slightly true of me,Very true of me,Moderately true of me,Moderately true of me,Very true of me,Slightly true of me,Very true of me,Slightly true of me,Slightly true of me,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,neutral,dog,,,,,,,,,,,,sexsim,,lifeboat,,footb,,chicken,,village,,incest,,electric,,60fdb9ec6c3006abe82e5182
38.0321,-78.489,0,0,36,Female,,White,Single,Absolutely disagree,"$80,001 - $100,000",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,-70,50,50,30,50,50,-50,50,50,30,50,50,-5,50,50,-11,50,50,-20,50,50,80,50,50,,,,,,,,,,,,,,,,,,,,,,,,,Moderately true of me,Moderately true of me,Slightly true of me,Not at all true of me,Moderately true of me,Very true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,2,accept,village,80,62,"“I feel happy that he satisfied his needs and desires like this, instead of potentially hurting someone.”",acc_rat,acc_rat,acc_emo,acc_emo,acc_rat,acc_rat,acc_emo,acc_emo,footb,53,dog,74,lifeboat,68,incest,57,electric,71,sexsim,51,chicken,80,6134e3d48d0eaa5c8fe8c25e
38.2856,-104.5809,0,0,36,Female,,White,Married,Absolutely disagree,"$40,001 - $60,000",Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-20,0,0,0,0,0,-10,36,35,-100,75,75,-100,50,75,0,30,0,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,2,condemn,village,53,57,“I feel disgusted that this sick family would eat a beloved pet.”,con_emo,con_rat,con_emo,con_rat,con_rat,con_rat,con_emo,con_emo,electric,71,sexsim,62,chicken,51,incest,80,footb,68,lifeboat,74,dog,53,5d9ae3ff9d2a700014869bcb
40.7592,-111.8875,0,0,31,Male,,Black or African American,I prefer not to answer,Absolutely disagree,"$100,001 or over",Slightly Liberal,6,17,20,0,25,16,,-62,17,14,-92,14,22,0,18,19,-44,16,16,-37,18,9,0,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,neutral,sexsim,,,,,,,,,,,,incest,,village,,lifeboat,,dog,,footb,,electric,,chicken,,60f47fc03ca663a2425b8085
29.7912,-95.4182,0,0,29,Female,,Hispanic and/or Latin,Single,Absolutely disagree,"Under $20,000",Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,0,0,-100,60,0,-100,0,0,-100,0,0,-100,0,0,-100,12,0,-100,0,0,-100,0,0,Very true of me,Very true of me,Moderately true of me,Slightly true of me,Moderately true of me,Extremely true of me,Moderately true of me,Moderately true of me,Slightly true of me,Slightly true of me,Very true of me,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,2,condemn,sexsim,57,68,"“I feel furious that she would do this; parents should give their life for their children, not the other way around.”",con_emo,con_rat,con_emo,con_rat,con_rat,con_emo,con_rat,con_emo,incest,62,dog,71,lifeboat,80,chicken,51,electric,74,footb,53,village,57,5fbaea1c266280b97c7d20a7
29.7646,-95.3657,0,0,62,Female,,White,Widowed,Absolutely disagree,"$80,001 - $100,000",Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,-100,0,0,100,0,0,0,0,0,100,0,0,0,0,0,-100,0,0,-99,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,2,accept,sexsim,71,80,“I feel heartbroken for the mother; she had no other choice but to silence her baby for the sake of others.”,acc_emo,acc_rat,acc_emo,acc_rat,acc_emo,acc_rat,acc_rat,acc_emo,incest,68,electric,53,dog,74,chicken,62,footb,51,lifeboat,57,village,71,62b333311c9e52e3224b4cb2
41.7892,-88.262,0,0,19,Male,,White,Single,Absolutely disagree,"$40,001 - $60,000",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,64,39,0,100,23,0,60,28,32,69,24,23,27,28,36,35,26,18,100,22,25,66,38,37,,,,,,,,,,,,,,,,,,,,,,,,,Very true of me,Extremely true of me,Extremely true of me,Slightly true of me,Moderately true of me,Very true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,2,accept,dog,62,68,“The chicken was already dead and would have been consumed or thrown away anyway.”,acc_rat,acc_emo,acc_emo,acc_rat,acc_emo,acc_rat,acc_rat,acc_emo,lifeboat,80,incest,57,village,53,sexsim,74,electric,51,footb,71,chicken,62,5ecd6f9376cf970c5229073f
28.7675,-81.2844,0,30,50,Male,,White,Married,Absolutely disagree,"$100,001 or over",Conservative,-79,72,73,-100,68,67,,37,72,66,-100,99,91,-15,50,50,50,71,84,0,50,50,9,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very true of me,Moderately true of me,Moderately true of me,Very true of me,Moderately true of me,Moderately true of me,Moderately true of me,Very true of me,Very true of me,Slightly true of me,Moderately true of me,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,neutral,footb,,,,,,,,,,,,chicken,,incest,,village,,electric,,sexsim,,dog,,lifeboat,,64388d39ca379d138d1ef4ad
