LocationLatitude,LocationLongitude,age,gender,,race,marital_status,check1,household_income,politics,dog_acc_moral_1,dog_acc_correct_1,dog_acc_similar_1,sexsim_acc_moral_1,sexsim_acc_correct_1,sexsim_acc_similar_1,incest_acc_moral_1,incest_acc_correct_1,incest_acc_similar_1,chicken_acc_moral_1,chicken_acc_correct_1,chicken_acc_similar_1,lifeboat_acc_moral_1,lifeboat_acc_correct_1,lifeboat_acc_similar_1,footb_acc_moral_1,footb_acc_correct_1,footb_acc_similar_1,electric_acc_moral_1,electric_acc_correct_1,electric_acc_similar_1,village_acc_moral_1,village_acc_correct_1,village_acc_similar_1,dog_con_moral_1,dog_con_correct_1,dog_con_similar_1,sexsim_con_moral_1,sexsim_con_correct_1,sexsim_con_similar_1,incest_con_moral_1,incest_con_correct_1,incest_con_similar_1,chicken_con_moral_1,chicken_con_correct_1,chicken_con_similar_1,lifeboat_con_moral_1,lifeboat_con_correct_1,lifeboat_con_similar_1,footb_con_moral_1,footb_con_correct_1,footb_con_similar_1,electric_con_moral_1,electric_con_correct_1,electric_con_similar_1,village_con_moral_1,village_con_correct_1,village_con_similar_1,dog_memrate,sexsim_memrate,incest_memrate,chicken_memrate,lifeboat_memrate,footb_memrate,electric_memrate,village_memrate,FoMO1_1,FoMO1_2,FoMO1_3,FoMO1_4,FoMO1_5,FoMO2_1,FoMO2_2,FoMO2_3,FoMO2_4,FoMO2_5,FoMO2_6,ih1_1,ih1_2,ih1_3,ih1_4,ih1_5,ih1_6,ih2_1,ih2_2,ih2_3,ih2_4,ih2_5,ih2_6,ih3_1,ih3_2,ih3_3,ih3_4,ih3_5,ih4_1,ih4_2,ih4_3,ih4_4,ih4_5,info_type2,Resp,Amt1,reason,dog_reason,Scen1,sexsim_reason,incest_reason,chicken_reason,lifeboat_reason,footb_reason,electric_reason,village_reason,Amt2,Scen2,Amt3,Scen3,Amt4,Scen4,Amt5,Scen5,Amt6,Scen6,Amt7,Scen7,Amt8,Scen8,prolific_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Latitude,Location Longitude,Age,Gender Identity - Selected Choice,,Race/ethnicity,Marital Status,"How much do you agree with this statement: ""All my friends are aliens from outer space.""",Household income,Political Leaning,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,FoMO1 - I fear others have more rewarding experiences than me.,FoMO1 - I fear my friends have more rewarding experiences than me.,FoMO1 - I get worried when I find out my friends are having fun without me.,FoMO1 - I get anxious when I don't know what my friends are up to.,"FoMO1 - It is important that I understand my friends ""in jokes.""","FoMO2 - Sometimes, I wonder if I spend too much time keeping up with what is going on.",FoMO2 - It bothers me when I miss an opportunity to meet up with friends.,FoMO2 - When I have a good time it is important for me to share the details online (e.g. updating status).,FoMO2 - When I miss out on a planned get-together it bothers me.,"FoMO2 - Select ""slightly true of me"" for this one.","FoMO2 - When I go on vacation, I continue to keep tabs on what my friends are doing.",ih1 - 1. My ideas are usually better than other people’s ideas.,"ih1 - 2. For the most part, others have more to learn from me than I have to learn from them.","ih1 - 3. When I am really confident in a belief, there is very little chance that belief is wrong.",ih1 - 4. I’d rather rely on my own knowledge about most topics than turn to others for expertise.,"ih1 - 5. On important topics, I am not likely to be swayed by the viewpoints of others.","ih1 - 6. I have at times changed opinions that were important to me, when someone showed me I was wrong.",ih2 - 7. I am willing to change my position on an important issue in the face of good reasons.,ih2 - 8. I am open to revising my important beliefs in the face of new information.,ih2 - 9. I am willing to change my opinions on the basis of compelling reason.,ih2 - 10. I’m willing to change my mind once it’s made up about an important topic.,ih2 - 11. I respect that there are ways of making important decisions that are different from the way I make decisions.,ih2 - 12. Listening to perspectives of others seldom changes my important opinions.,ih3 - 13. I welcome different ways of thinking about important topics.,"ih3 - 14. I can have great respect for someone, even when we don't see eye-to-eye on important topics.","ih3 - 15. Even when I disagree with others, I can recognize that they have sound points.","ih3 - 16. When someone disagrees with ideas that are important to me, it feels as though I'm being attacked.","ih3 - 17. When someone contradicts my most important beliefs, it feels like a personal attack.",ih4 - 18. I tend to feel threatened when others disagree with me on topics that are close to my heart.,"ih4 - 19. I can respect others, even if I disagree with them in important ways.","ih4 - 20. I am willing to hear others out, even if I disagree with them.","ih4 - 21. When someone disagrees with ideas that are important to me, it makes me feel insignificant.",ih4 - 22. I feel small when others disagree with me on topics that are close to my heart.,info_type2,Resp,Amt1,reason,dog_reason,Scen1,sexsim_reason,incest_reason,chicken_reason,lifeboat_reason,footb_reason,electric_reason,village_reason,Amt2,Scen2,Amt3,Scen3,Amt4,Scen4,Amt5,Scen5,Amt6,Scen6,Amt7,Scen7,Amt8,Scen8,Please enter your Prolific ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.2083,-84.245,64,Female,,White,Widowed,Absolutely disagree,"$40,001 - $60,000",Liberal,-45,34,36,-27,40,43,-78,21,11,-36,42,39,-46,31,38,8,54,56,-63,68,63,11,55,57,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,4,7,2,5,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,accept,74,68,“I feel heartbroken for the mother; she had no other choice but to silence her baby for the sake of others.”,acc_emo,electric,acc_rat,acc_rat,acc_emo,acc_rat,acc_rat,acc_emo,acc_emo,57,lifeboat,62,incest,80,sexsim,53,footb,51,chicken,71,dog,74,village,56db4c217dcddf000bd5853c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.6825,-82.3606,49,Male,,White,Married,Absolutely disagree,"$100,001 or over",Moderate,-63,79,88,-77,80,91,-77,94,100,-87,94,98,12,96,96,29,81,79,51,78,80,3,72,72,,,,,,,,,,,,,,,,,,,,,,,,,5,7,8,8,7,7,7,8,Slightly true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Moderately true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,accept,51,57,"“She had to do this to save everyone else, especially since it’s unlikely that the baby would have survived without their parents.”",acc_rat,incest,acc_emo,acc_rat,acc_emo,acc_emo,acc_emo,acc_rat,acc_rat,62,sexsim,53,chicken,71,lifeboat,80,dog,74,footb,68,electric,51,village,63fcb1bc5430196e4e652913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.4325,-79.863,60,Female,,White,Married,Absolutely disagree,"$60,001 - $80,000",Slightly Conservative,11,70,71,-15,65,29,-27,66,25,-10,55,32,54,85,77,48,80,74,-12,81,42,41,86,79,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,4,5,5,5,6,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Moderately true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,accept,62,53,“The chicken was already dead and would have been consumed or thrown away anyway.”,acc_emo,dog,acc_emo,acc_rat,acc_rat,acc_emo,acc_emo,acc_rat,acc_rat,51,electric,57,village,80,incest,68,lifeboat,71,sexsim,74,footb,62,chicken,622a2074fe80192aa7a0212a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.613,-83.0346,38,Male,,White,Single,Absolutely disagree,"$20,001 - $40,000",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,100,0,0,100,0,0,100,0,0,-100,50,0,-100,50,0,-100,50,0,100,0,0,8,8,8,8,7,5,5,5,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,condemn,71,68,“It could lead to an accidental pregnancy even with contraceptives.”,con_emo,electric,con_emo,con_rat,con_rat,con_rat,con_emo,con_rat,con_emo,80,chicken,57,sexsim,74,lifeboat,62,village,53,dog,51,footb,71,incest,63008ac67b7d6d032e5c1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5181,-70.899,77,Male,,White,Married,Absolutely disagree,"$60,001 - $80,000",Slightly Conservative,,,,,,,,,,,,,,,,,,,,,,,,,23,34,36,-23,63,66,-36,62,73,-60,62,76,32,66,29,-39,72,68,31,67,31,22,64,34,6,8,8,8,8,9,9,7,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Moderately true of me,Moderately true of me,Very true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,condemn,68,51,"“The electrician had no way of knowing how much longer the children actually had, nor when the tycoon would naturally die.”",con_emo,dog,con_rat,con_emo,con_rat,con_emo,con_emo,con_rat,con_rat,57,sexsim,74,lifeboat,62,footb,80,chicken,71,incest,53,village,68,electric,5c92870723bd7e001870138e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.1104,-83.1131,53,Male,,White,Married,Absolutely disagree,"$100,001 or over",Strongly Liberal,0,50,0,-100,55,0,-100,40,0,-60,60,0,-100,50,0,-100,50,0,-100,70,0,-100,55,0,,,,,,,,,,,,,,,,,,,,,,,,,1 - I do not remember my responses at all,7,6,5,7,8,7,7,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Slightly true of me,Moderately true of me,Slightly true of me,Not at all true of me,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,accept,68,80,“The family did not cause the dog any harm; it was already dead.”,acc_rat,footb,acc_emo,acc_rat,acc_emo,acc_rat,acc_emo,acc_rat,acc_emo,74,chicken,71,lifeboat,53,village,51,incest,62,electric,57,sexsim,68,dog,5ed17f22e1dc340c98fd6bc7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.7139,-71.3895,64,Female,,White,Married,Absolutely disagree,"$40,001 - $60,000",Liberal,-80,10,10,-66,10,10,-1,10,10,-65,10,10,-49,10,10,-35,10,10,-100,10,10,-55,10,10,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,6,7,6,6,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,accept,57,62,“The children needed the money now to survive and the tycoon had consented to donate their wealth for that purpose.”,acc_rat,village,acc_rat,acc_emo,acc_emo,acc_rat,acc_emo,acc_rat,acc_emo,68,sexsim,80,dog,51,chicken,74,footb,53,incest,71,lifeboat,57,electric,5e991aaac7bc1615ea5b3eb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.7889,-96.8021,67,Male,,White,Separated or Divorced,Absolutely disagree,"Under $20,000",Moderate,,,,,,,,,,,,,,,,,,,,,,,,,75,81,0,-100,85,0,-100,80,0,-100,100,0,100,79,0,84,81,0,85,75,0,80,75,0,8,8,8,8,8,8,9,9,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,condemn,51,74,“Henry shouldn’t get to decide a person’s willingness to sacrifice themselves.”,con_rat,village,con_emo,con_rat,con_emo,con_emo,con_rat,con_emo,con_rat,53,electric,62,chicken,68,sexsim,71,dog,57,lifeboat,80,incest,51,footb,63e55808e2a9efc0cd65e879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
