LocationLatitude,LocationLongitude,prolific_id,age,gender,gender_3_TEXT,race,marital_status,,household_income,politics,dog_neu_moral_1,dog_neu_correct_1,dog_neu_similar_1,sexsim_neu_moral_1,sexsim_neu_correct_1,sexsim_neu_similar_1,incest_neu_moral_1,incest_neu_correct_1,incest_neu_similar_1,chicken_neu_moral_1,chicken_neu_correct_1,chicken_neu_similar_1,lifeboat_neu_moral_1,lifeboat_neu_correct_1,lifeboat_neu_similar_1,footb_neu_moral_1,footb_neu_correct_1,footb_neu_similar_1,electric_neu_moral_1,electric_neu_correct_1,electric_neu_similar_1,village_neu_moral_1,village_neu_correct_1,village_neu_similar_1,dog_memrate,sexsim_memrate,incest_memrate,chicken_memrate,lifeboat_memrate,footb_memrate,electric_memrate,village_memrate,FoMO1_1,FoMO1_2,FoMO1_3,FoMO1_4,FoMO1_5,FoMO2_1,FoMO2_2,FoMO2_3,FoMO2_4,FoMO2_5,FoMO2_6,ih1_1,ih1_2,ih1_3,ih1_4,ih1_5,ih1_6,ih2_1,ih2_2,ih2_3,ih2_4,ih2_5,ih2_6,ih3_1,ih3_2,ih3_3,ih3_4,ih3_5,ih4_1,ih4_2,ih4_3,ih4_4,ih4_5,,info_type2,Scen1,Scen2,Scen3,Scen4,Scen5,Scen6,Scen7,Scen8
Location Latitude,Location Longitude,Please enter your Prolific ID:,Age,Gender Identity - Selected Choice,Gender Identity - Gender variant/Non-conforming/Other (Please specify) - Text,Race/ethnicity,Marital Status,,Household income,Political Leaning,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How would you assess the agent's actions?,How important is it to you that your answer is correct?,How important is it to you that your answer is similar to other people?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,How well do you remember what your approximate judgments for this scenario were two weeks ago during the first session?,FoMO1 - I fear others have more rewarding experiences than me.,FoMO1 - I fear my friends have more rewarding experiences than me.,FoMO1 - I get worried when I find out my friends are having fun without me.,FoMO1 - I get anxious when I don't know what my friends are up to.,"FoMO1 - It is important that I understand my friends ""in jokes.""","FoMO2 - Sometimes, I wonder if I spend too much time keeping up with what is going on.",FoMO2 - It bothers me when I miss an opportunity to meet up with friends.,FoMO2 - When I have a good time it is important for me to share the details online (e.g. updating status).,FoMO2 - When I miss out on a planned get-together it bothers me.,"FoMO2 - Select ""slightly true of me"" for this one.","FoMO2 - When I go on vacation, I continue to keep tabs on what my friends are doing.",ih1 - 1. My ideas are usually better than other people’s ideas.,"ih1 - 2. For the most part, others have more to learn from me than I have to learn from them.","ih1 - 3. When I am really confident in a belief, there is very little chance that belief is wrong.",ih1 - 4. I’d rather rely on my own knowledge about most topics than turn to others for expertise.,"ih1 - 5. On important topics, I am not likely to be swayed by the viewpoints of others.","ih1 - 6. I have at times changed opinions that were important to me, when someone showed me I was wrong.",ih2 - 7. I am willing to change my position on an important issue in the face of good reasons.,ih2 - 8. I am open to revising my important beliefs in the face of new information.,ih2 - 9. I am willing to change my opinions on the basis of compelling reason.,ih2 - 10. I’m willing to change my mind once it’s made up about an important topic.,ih2 - 11. I respect that there are ways of making important decisions that are different from the way I make decisions.,ih2 - 12. Listening to perspectives of others seldom changes my important opinions.,ih3 - 13. I welcome different ways of thinking about important topics.,"ih3 - 14. I can have great respect for someone, even when we don't see eye-to-eye on important topics.","ih3 - 15. Even when I disagree with others, I can recognize that they have sound points.","ih3 - 16. When someone disagrees with ideas that are important to me, it feels as though I'm being attacked.","ih3 - 17. When someone contradicts my most important beliefs, it feels like a personal attack.",ih4 - 18. I tend to feel threatened when others disagree with me on topics that are close to my heart.,"ih4 - 19. I can respect others, even if I disagree with them in important ways.","ih4 - 20. I am willing to hear others out, even if I disagree with them.","ih4 - 21. When someone disagrees with ideas that are important to me, it makes me feel insignificant.",ih4 - 22. I feel small when others disagree with me on topics that are close to my heart.,,info_type2,Scen1,Scen2,Scen3,Scen4,Scen5,Scen6,Scen7,Scen8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.6514,-122.6604,59e7d3f97f3d71000171def0,39,Male,,White,Single,,"$40,001 - $60,000",Moderate,72,18,18,100,23,9,0,21,12,0,19,17,-100,89,19,-100,20,10,-100,100,0,-77,83,11,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,3,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Slightly true of me,Not at all true of me,Moderately true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Disagree,,neutral,lifeboat,chicken,incest,electric,village,dog,sexsim,footb
38.581,-121.4939,5e16c978783225c8108ef055,61,Male,,White,Single,,"$20,001 - $40,000",Strongly Conservative,-100,50,0,-100,50,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,neutral,footb,electric,dog,incest,chicken,village,lifeboat,sexsim
40.8142,-81.9387,5eac686d82cc012af1e953c7,56,Male,,White,Single,,"Under $20,000",Conservative,-84,0,0,0,0,0,0,0,0,-34,0,0,100,0,0,-59,0,0,-100,0,0,100,0,0,5,5,5,5,5,5,5,5,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,neutral,chicken,lifeboat,footb,sexsim,dog,electric,village,incest
32.7441,-100.9228,60f09796c2a24694ff43f6b7,58,Female,,White,Single,,"$60,001 - $80,000",Liberal,-75,75,85,50,50,50,-50,50,50,80,50,35,80,75,50,5,50,50,100,75,50,25,50,50,7,9,7,10 - I completely remember my responses,9,7,10 - I completely remember my responses,9,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Moderately true of me,Moderately true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,,neutral,electric,sexsim,dog,village,lifeboat,footb,chicken,incest
43.0628,-89.3171,6341a541b6cfd5f8933f48c4,35,Male,,Black or African American,Single,,"$60,001 - $80,000",Slightly Liberal,-75,75,90,-100,90,100,-100,100,100,-100,85,95,80,75,70,25,75,75,-65,70,80,80,75,40,7,8,9,9,3,2,4,6,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,,neutral,dog,incest,village,sexsim,electric,lifeboat,footb,chicken
39.3248,-76.6062,611688156f6d22853511ffb3,21,Male,,White,Single,,"$40,001 - $60,000",Moderate,-51,24,25,-52,33,61,-100,100,100,-100,70,77,-43,23,17,-14,52,52,7,15,39,-52,23,27,5,8,8,5,6,7,7,7,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Moderately true of me,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,neutral,sexsim,electric,incest,lifeboat,chicken,village,dog,footb
40.9476,-73.8624,62f15a6bb44b71fa2124f45a,65,Male,,White,Married,,"$80,001 - $100,000",Moderate,-45,51,51,-30,51,51,50,51,34,-22,51,51,74,51,25,-53,51,51,-78,67,51,70,75,50,10 - I completely remember my responses,7,8,7,10 - I completely remember my responses,9,8,7,Very true of me,Very true of me,Slightly true of me,Slightly true of me,Moderately true of me,Moderately true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,neutral,village,sexsim,chicken,electric,incest,footb,lifeboat,dog
41.1445,-84.5764,631b2f98d51d9e3d6ddc87d5,25,Male,,White,Single,,"$20,001 - $40,000",Conservative,10,65,30,-15,30,55,-10,35,65,-20,30,55,-35,50,30,-55,60,30,-35,80,30,-20,80,40,7,7,8,6,5,9,6,4,Moderately true of me,Not at all true of me,Slightly true of me,Not at all true of me,Moderately true of me,Moderately true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,,neutral,footb,lifeboat,sexsim,chicken,village,incest,electric,dog
